見る、診る,みる,看、诊断
教育,きょういく,教育
歴史,れきし,历史
文化,ぶんか,文化
社会,しゃかい,社会
法律,ほうりつ,法律
戦争,せんそう,战争
平和,へいわ,和平
目的,もくてき,目的
安全,あんぜん,安全
論文,ろんぶん,论文
関係,かんけい,关系
Mixer,ミキサー,搅拌器
薬缶,やかん,水壶
栓抜き,せんぬき,开瓶器
缶切り,かんきり,罐头起子
缶詰,かんづめ,罐头
風呂敷,ふろしき,包袱皮
算盤,そろばん,算盘
体温計,たいおんけい,体温计
材料,ざいりょう,材料
いし,いし,石头
Pyramid,ピラミッド,金字塔
Data,データ,数据
File,ファイル,文件
ある～,ある～,某 有的 
一生懸命,いっしょうけんめい,拼命地
何故,なぜ,为什么
Loan,ローン,贷款
Set,セット,套 组
あと,あと,其余
カップラーメン,カップラーメン,杯面
インスタントラーメン,インスタントラーメン,方便面
なべ,なべ,锅
どんぶり,どんぶり,大碗
食品,しょくひん,食品
調査,ちょうさ,调查
カップ,カップ,杯子
また,また,另 其他
～の　代わりに,～の　かわりに,代替
どこででも,どこででも,在任何地方都
今では,いまでは,现在
増えます,ふえます,增加
輸出が増えます,ゆしゅつがふえます,出口增加
減ります,へります,减少
輸出が減ります,ゆしゅつがへります,出口减少
上がります,あがります,上涨 提高
値段が上がります,ねだんがあがります,价格上涨
下がります,さがります,下降
値段が下がります,ねだんがさがります,价格下降
切れます,きれます,断了
紐が切れます,ひもがきれます,绳子断了
とれます,とれます,脱落 落下
Buttonがとれます,ボタンがとれます,纽扣脱落
落ちます,おちます,脱落 掉下
荷物が落ちます,にもつがおちます,行李掉下
なくなります,なくなります,丢失 用尽了
Gasolineがなくなります,ガソリンがなくなります,汽油用尽了
丈夫「な」,じょうぶ「な」,结实的 健康的
変「な」,へん「な」,奇怪的 不寻常的
幸せ「な」,しあわせ「な」,幸福的
美味い,うまい,好吃的 擅长于
不味い,まずい,不好吃的
つまらない,つまらない,无聊的
Gasoline,ガソリン,汽油
火,ひ,或
暖房,だんぼう,暖气
冷房,れいぼう,冷气
Sense,センス,品味
今にも,いまにも,马上 不就 眼看
わあ,わあ,哇 哦
会員,かいいん,会员 成员
適当「な」,てきとう「な」,适当的 合适的
年齢,ねんれい,年龄
収入,しゅうにゅう,收入
ぴったり,ぴったり,正合适的
そのうえ,そのうえ,加之 而且
～といいます,～といいます,叫～
ばら,ばら,玫瑰
drive,ドライブ,驾车兜风
泣きます,なきます,哭
笑います,わらいます,笑 微笑
乾きます,かわきます,干
濡れます,ぬれます,湿 潮湿
滑ります,すべります,滑
起きます,おきます,发生
事故が起きます,じこがおきます,发生事故
調節します,ちょうせつします,调节
安全「な」,あんぜん「な」,安全的
丁寧「な」,ていねい「な」,礼貌的 恭敬的 仔细的 
細かい,こまかい,小的 细小的 详细的
濃い,こい,味道浓的 颜色深的
薄い,うすい,味道淡的 颜色浅的
空気,くうき,空气
涙,なみだ,眼泪
和食,わしょく,日式饭菜
洋食,ようしょく,西式饭菜
おかず,おかず,菜
量,りょう,分量
～倍,～ばい,～倍
半分,はんぶん,一半
Single,シングル,单人间
Twin,ツイン,双人间
箪笥,たんす,衣柜
洗濯物,せんたくもの,洗的衣服
理由,りゆう,理由
どうなさいますか,どうなさいますか,你想要怎么样？
Cut,カット,剪发
Shampoo,シャンプー,洗发水
どういうふうになさいますか,どういうふうになさいますか,你准备怎么做？
Short,ショート,短发
～みたいにしてください,～みたいにしてください,请剪成～
これでよろしいでしょうか,これでよろしいでしょうか,这样行吗？
「どうも」おつかれさまでした,「どうも」おつかれさまでした,您辛苦了
嫌がります,いやがります,讨厌 不喜欢
まだ,まだ,另外
順序,じゅんじょ,顺序
表現,ひょうげん,表现 表达
例えば,たとえば,例如
別れます,わかれます,分开 分离
これら,これら,这些
縁起が　悪い,えんぎが　わるい,不吉利
謝ります,あやまります,道歉
遭います,あいます,遇到 遭遇 发生
事故に遭います,じこにあいます,发生事故
信じます,しんじます,相信 信任
用意します,よういします,准备
Cancelします,キャンセルします,取消
うまくいきます,うまくいきます,顺利进行
保証書,ほしょうしょ,保证书
領収書,りょうしゅうしょ,收据
贈り物,おくりもの,礼物
間違い電話,まちがいでんわ,打错的电话
Camp,キャンプ,露营 帐篷
係,かかり,担任某项工作的人
中止,ちゅうし,中止
点,てん,点 分
Lever,レバー,杆 
「～円」札,「～えん」さつ,（日元）纸钞
ちゃんと,ちゃんと,规规矩矩 确实 完全
急に,きゅうに,突然
楽しみにしています,たのしみにしています,期待着 盼望着
以上です,いじょうです,到此结束
係員,かかりいん,工作人员
Course,コース,路线
Start,スタート,开始 出发
～位,～い,第～名
優勝します,ゆうしょうします,获得冠军
悩み,なやみ,麻烦 烦恼
目覚まし時計,めざましどけい,闹钟
眠ります,ねむります,睡觉
目が覚めます,めがさめます,醒来
大学生,だいがくせい,大学生
回答,かいとう,回答
鳴ります,なります,叫 响
セットします,セットします,组成套
それでも,それでも,尽管如此 可是
焼きます,やきます,烧 靠
渡します,わたします,递交 交给
帰ってきます,かえってきます,回来
出ます,でます,离开 出发
Busが出ます,バスがでます,巴士发车
留守,るす,不在家
宅配便,たくはいびん,快递
原因,げんいん,原因
注射,ちゅうしゃ,注意 打针
食欲,しょくよく,食欲
Pamphlet,パンフレット,简介
Stereo,ステレオ,音响
こちら,こちら,我们这边
～の所,～のところ,～的地方
ちょうど,ちょうど,正好 刚好
たった今,たったいま,刚才
今いいでしょうが,いまいいでしょうが,现在可以吗？
Gas service center,ガスサービスセンター,瓦斯服务中心
Gas range,ガスレンジ,瓦斯炉
具合,ぐあい,情况
どちら様でしょうが,どちらさまでしょうか,您是哪位
向かいます,むかいます,向～去
おまたせしました,おまたせしました,您久等了
知識,ちしき,知识
宝庫,ほうこ,宝库
手に　入ります,てに　はいります,到手
system,システム,系统
例えば,たとえば,例如
keyword,キーワード,关键词
一部分,いちぶぶん,部分
入力します,にゅうりょくします,输入
秒,びょう,秒
（本が）出ます,（ほんが）でます,出版（书）
集まります,あつまります,集合
人が集まります,ひとがあつまります,人集合
別れます,わかれます,分摊 分手
人が別れます,ひとがわかれます,与人分手
長生きします,ながいきします,长寿
します,します,有（声音 味道 气味）
音／声がします,おと／こえがします,有声音 有响动
味がします,あじがします,有味道
においがします,においがします,有气味
差します,さします,撑开
傘を差します,かさをさします,撑伞
酷い,ひどい,严厉的 严重的
怖い,こわい,可怕的
天気予報,てんきよほう,天气预报
発表,はっぴょう,发表
実験,じっけん,实验
人口,じんこう,人口
におい,におい,气味
科学,かがく,科学
医学,いがく,医学
文学,ぶんがく,文学
Pandora,パトラー,警车
救急車,きゅうきゅうしゃ,救护车
賛成,さんせい,赞成
反対,はんたい,反对
男性,だんせい,男性
女性,じょせい,女性
どうも,どうも,总觉得
～によると,～によると,根据
恋人,こいびと,恋人
婚約します,こんやくします,订婚
相手,あいて,对方 对手
知り合います,しりあいます,相识
平均寿命,へいきんじゅみょう,平均寿命
比べます,くらべます,比较
博士,はかせ,博士
脳,のう,脑
ホルモン,ホルモン,荷尔蒙
化粧品,けしょうひん,化妆品
調べ,しらべ,调查
化粧,けしょう,化妆
降ろします、下ろします,おろします,放下 卸下
届けます,とどけます,送到 呈报
世話をします,せわをします,照顾
嫌「な」,いや「な」,讨厌的 不愿意的
厳しい,きびしい,严格的 强硬的
塾,じゅく,补习班
Schedule,スケジュール,日程
生徒,せいと,学生
者,もの,（特定情况下的）人
入管,にゅうかん,出入境管理局
再入国ビザ,さいにゅうこくビザ,再入境签证
自由に,じゆうに,自由地
～間,～かん,中间 期间
いいことですね,いいことですね,那很好
お忙しいですか,おいそがしいですか,您忙吗？
久しぶり,ひさしぶり,很久
営業,えいぎょう,营业 销售
それまでに,それまでに,在那之前
かまいません,かまいません,没关系 别介意
楽しみます,たのしみます,享乐 快乐
もともと,もともと,原本 原来
～せいき,～せいき,世纪
代わりを　します,かわりを　します,代替
スピード,スピード,速度
競走します,きょうそうします,赛跑
サーカス,サーカス,马戏团
芸,げい,技艺 技能
美しい,うつくしい,美丽
姿,すがた,姿势 姿态
心,こころ,心 心情
とらえます,とらえます,打动 抓住
～に　とって,～に　とって,对于～来说
勤めます,つとめます,工作
会社に勤めます,かいしゃにつとめます,在公司工作
休みます,やすみます,睡觉
掛けます,かけます,坐
椅子に掛けます,いすにかけます,坐在椅子上
過ごします,すごします,度过 过
寄ります,よります,顺路去
銀行に寄ります,ぎんこうによります,顺路去银行
いらっしゃいます,いらっしゃいます,在 来 去（います　行きます　来ます）的尊敬语
召し上がります,めしあがります,食べます　飲みます尊敬语
おっしゃいます,おっしゃいます,言います尊敬语
なさいます,なさいます,します尊敬语
ご覧になります,ごらんになります,みます尊敬语
ご存じです,ごぞんじです,知って　います尊敬语
あいさつ,あいさつ,问候 寒暄
灰皿,はいざら,烟灰缸
旅館,りょかん,旅馆
会場,かいじょう,会场
バス停,バスてい,公车站
貿易,ぼうえき,贸易
～様,～さま,桑尊敬语
帰りに,かえりに,回来的途中
たまに,たまに,偶尔
ちっとも,ちっとも,一点也不
遠慮なく,えんりょなく,不客气
～年～組,～ねん～くみ,～年～班
では,では,那么
出します,だします,发
熱を出します,ねつをだします,发烧
よろしくお伝えください,よろしくおつたえください,请带我问好
しつれいだします,しつれいだします,告辞了
講師,こうし,讲师
多くの,おおくの,很多的
作品,さくひん,作品
受賞します,じゅしょうします,获奖
世界的に,せかいできに,世界性
作家,さっか,作家
～で　いらっしゃいます,～で　いらっしゃいます,是
長男,ちょうなん,长子
障害,しょうがい,障碍 障碍物
お持ちです,おもちです,有
さっきょく,さっきょく,作曲
活動,かつどう,活动 行动
それでは,それでは,那么
参ります,まいります,行きます　来ます（谦逊语）
おります,おります,います（谦逊语）
いただきます,いただきます,食べます　飲みます　もらいます（谦逊语）
申します,もうします,言います（谦逊语）
いたします,いたします,します（谦逊语）
拝見します,はいけんします,みます（谦逊语）
存じます,ぞんじます,しります（谦逊语）
伺います,うかがいます,聞きます　行きます（谦逊语）
お目にかかります,おめにかかります,会います（谦逊语）
ございます,ございます,あります（谦逊语）
～でございます,～でございます,です（谦逊语）
私,わたくし,わたし（谦逊语）
Guide,ガイド,导游
お宅,おたく,府上
郊外,こうがい,郊外
Album,アルバム,相簿
再来週,さらいしゅう,下下周
再来月,さらいげつ,下下个月
再来年,さらいねん,后年
半年,はんとし,半年
最初に,さいしょに,最初
最後に,さいごに,最后
ただ今,ただいま,刚才
緊張します,きんちょうします,紧张
放送します,ほうそうします,播放
撮ります,とります,摄录
Videoに撮ります,ビデオにとります,录影
賞金,しょうきん,奖金
自然,しぜん,自然
きりん,きりん,长颈鹿
象,ぞう,象
いろ,いろ,时候 时期
かないます,かないます,实现
夢がかないます,ゆめがかないます,实现梦想
ひとことよろしいでしょうか,ひとことよろしいでしょうか,我能说一句话吗？
協力します,きょうりょくします,协力 合作 协作
心から,こころから,衷心
感謝します,かんしゃします,感谢
お礼,おれい,感谢 致谢
拝啓,はいけい,拜
美しい,うつくしい,美丽
お元気で　いらっしゃいます,おげんきで　いらっしゃいます,您好吗
迷惑を　かけます,めいわくを　かけます,添麻烦了
生かします,いかします,活用
お城,おしろ,城堡
敬具,けいぐ,谨此
